STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
1074,2018-05-01,Yaupon,None,173.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-05-15,Yaupon,None,148.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-06-01,Yaupon,None,138.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-06-15,Yaupon,None,129.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-07-01,Yaupon,None,114.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-07-15,Yaupon,None,121.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-08-01,Yaupon,None,121.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-08-15,Yaupon,None,119.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-09-01,Yaupon,None,114.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-09-15,Yaupon,None,115.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-10-01,Yaupon,None,130.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-10-15,Yaupon,None,132.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-11-01,Yaupon,None,117.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-11-15,Yaupon,None,127.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-12-01,Yaupon,None,118.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2018-12-15,Yaupon,None,118.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-01-01,Yaupon,None,119.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-01-15,Yaupon,None,118.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-02-01,Yaupon,None,124.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-02-15,Yaupon,None,117.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-03-01,Yaupon,None,118.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-03-15,Yaupon,None,106.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-04-01,Yaupon,None,103.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-04-15,Yaupon,None,213.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-05-01,Yaupon,None,176.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-05-15,Yaupon,None,173.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-06-01,Yaupon,None,141.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-06-15,Yaupon,None,144.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-07-01,Yaupon,None,139.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-07-15,Yaupon,None,153.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-08-01,Yaupon,None,137.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-08-15,Yaupon,None,135.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-09-01,Yaupon,None,121.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-09-15,Yaupon,None,115.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-10-01,Yaupon,None,127.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-10-15,Yaupon,None,126.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-11-01,Yaupon,None,132.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-11-15,Yaupon,None,125.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-12-01,Yaupon,None,119.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2019-12-15,Yaupon,None,125.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2020-01-01,Yaupon,None,114.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2020-01-15,Yaupon,None,144.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2020-02-01,Yaupon,None,110.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2020-02-15,Yaupon,None,127.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2020-03-01,Yaupon,None,114.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
1074,2020-05-01,Yaupon,None,186.0,SETX_Ang_TX,SACC,Texas State Forestry,31.309166666666666,-94.825,300.0
