STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
592,2018-08-13,Ninebark,Pacific,125.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2018-09-02,Ninebark,Pacific,128.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2018-09-28,Ninebark,Pacific,109.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2019-05-02,Ninebark,Pacific,296.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2019-07-02,Ninebark,Pacific,175.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2019-07-17,Ninebark,Pacific,162.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2019-07-31,Ninebark,Pacific,131.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2019-08-15,Ninebark,Pacific,132.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2019-09-05,Ninebark,Pacific,119.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-06-02,Ninebark,Pacific,196.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-06-15,Ninebark,Pacific,112.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-07-06,Ninebark,Pacific,178.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-07-15,Ninebark,Pacific,175.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-08-03,Ninebark,Pacific,172.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-08-17,Ninebark,Pacific,130.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-09-01,Ninebark,Pacific,137.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-09-15,Ninebark,Pacific,129.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2020-10-01,Ninebark,Pacific,140.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-05-17,Ninebark,Pacific,228.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-06-03,Ninebark,Pacific,198.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-06-15,Ninebark,Pacific,196.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-06-30,Ninebark,Pacific,170.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-08-04,Ninebark,Pacific,118.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-08-15,Ninebark,Pacific,98.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-09-01,Ninebark,Pacific,109.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2021-09-30,Ninebark,Pacific,83.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-05-17,Ninebark,Pacific,293.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-06-01,Ninebark,Pacific,228.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-06-15,Ninebark,Pacific,190.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-06-29,Ninebark,Pacific,187.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-07-13,Ninebark,Pacific,156.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-08-01,Ninebark,Pacific,110.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-08-15,Ninebark,Pacific,104.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-09-01,Ninebark,Pacific,85.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2022-10-04,Ninebark,Pacific,102.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2023-05-31,Ninebark,Pacific,304.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2023-06-14,Ninebark,Pacific,184.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2023-07-05,Ninebark,Pacific,159.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2023-07-19,Ninebark,Pacific,141.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2023-09-06,Ninebark,Pacific,130.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
592,2023-09-18,Ninebark,Pacific,121.0,Humbug,GBCC,Salmon-Challis NF,45.53111111111111,-114.02638888888889,4850.0
