STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
552,2020-05-21,Brome,Smooth,174.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2020-06-03,Brome,Smooth,196.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2020-06-16,Brome,Smooth,136.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2020-07-27,Brome,Smooth,112.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2020-08-12,Brome,Smooth,79.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2020-08-26,Brome,Smooth,79.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-05-26,Brome,Smooth,279.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-06-17,Brome,Smooth,142.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-07-01,Brome,Smooth,134.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-07-16,Brome,Smooth,170.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-07-28,Brome,Smooth,105.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-08-12,Brome,Smooth,75.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-09-07,Brome,Smooth,73.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-09-21,Brome,Smooth,72.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2021-10-07,Brome,Smooth,58.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2022-06-02,Brome,Smooth,148.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2022-07-08,Brome,Smooth,155.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2022-07-20,Brome,Smooth,118.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2022-08-10,Brome,Smooth,118.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2022-09-01,Brome,Smooth,131.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2022-09-14,Brome,Smooth,128.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2023-05-25,Brome,Smooth,281.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2023-07-06,Brome,Smooth,191.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
552,2023-07-21,Brome,Smooth,190.0,Hearst-Lead,RMCC,State Of South Dakota,44.34916666666667,-103.79583333333333,5706.0
